観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),9日の最高気温(℃),9日の最高気温の品質情報,9日の最高気温起時（時）,9日の最高気温起時（分）,9日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（8日まで）,今年の最高気温（8日まで）の品質情報,今年の最高気温（8日まで）を観測した起日（年）,今年の最高気温（8日まで）を観測した起日（月）,今年の最高気温（8日まで）を観測した起日（日）,8日までの観測史上1位の値（℃）,8日までの観測史上1位の値の品質情報,8日までの観測史上1位の値を観測した起日（年）,8日までの観測史上1位の値を観測した起日（月）,8日までの観測史上1位の値を観測した起日（日）,8日までの11月の1位の値,8日までの11月の1位の値の品質情報,8日までの11月の1位の値の起日（年）,8日までの11月の1位の値の起日（月）,8日までの11月の1位の値の起日（日）,統計開始年
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2023,11,9,10,0,9.5,4,9,26,4,,,,,,,0,31.0,5,2023,8,31,31.9,8,2000,8,1,17.5,8,2004,11,11,1978
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2023,11,9,10,0,11.0,4,9,49,4,,,,,,,0,31.3,5,2023,8,24,32.7,8,2021,7,29,17.4,8,2003,11,3,1938
11046,北海道宗谷地方,礼文（レブン）,,2023,11,9,10,0,9.8,4,9,53,4,,,,,,,0,29.8,5,2023,8,24,30.5,8,2022,7,31,16.1,8,2021,11,9,2003
11061,北海道宗谷地方,声問（コエトイ）,,2023,11,9,10,0,9.0,4,9,36,4,,,,,,,0,31.8,5,2023,8,24,33.3,8,2021,7,29,17.2,8,2006,11,9,2003
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2023,11,9,10,0,7.3,4,10,0,4,,,,,,,0,31.8,5,2023,8,31,32.7,8,2000,7,31,18.3,8,2004,11,11,1978
11091,北海道宗谷地方,本泊（モトドマリ）,,2023,11,9,10,0,10.4,4,9,57,4,,,,,,,0,31.1,5,2023,8,17,31.8,8,2021,8,7,18.4,8,2021,11,9,2003
11121,北海道宗谷地方,沼川（ヌマカワ）,,2023,11,9,10,0,8.2,4,10,0,4,,,,,,,0,31.3,5,2023,8,31,32.4,8,2021,7,29,17.2,8,2004,11,11,1977
11151,北海道宗谷地方,沓形（クツガタ）,,2023,11,9,10,0,10.7,4,9,30,4,,,,,,,0,31.0,5,2023,8,17,32.5,8,1989,8,7,16.7,8,1990,11,1,1977
11176,北海道宗谷地方,豊富（トヨトミ）,,2023,11,9,10,0,8.9,4,9,47,4,,,,,,,0,32.1,5,2023,8,24,33.1,8,2000,8,1,17.3,8,2003,11,3,1977
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2023,11,9,10,0,8.7,4,10,0,4,,,,,,,0,33.4,5,2023,8,17,33.6,4,1989,7,27,19.0,8,2003,11,3,1977
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2023,11,9,10,0,7.9,4,10,0,4,,,,,,,0,34.2,5,2023,8,23,35.8,8,2021,8,7,19.7,8,2003,11,3,1977
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402,2023,11,9,10,0,9.8,4,10,0,4,,,,,,,0,34.1,5,2023,8,31,35.0,8,2000,7,31,21.1,8,2003,11,3,1942
11316,北海道宗谷地方,歌登（ウタノボリ）,,2023,11,9,10,0,9.0,4,10,0,4,,,,,,,0,35.1,5,2023,8,23,35.4,8,1989,7,26,20.2,8,2003,11,3,1977
12011,北海道上川地方,中川（ナカガワ）,,2023,11,9,10,0,9.6,4,10,0,4,,,,,,,0,33.9,5,2023,8,17,36.2,8,2021,7,28,18.7,8,2003,11,3,1977
12041,北海道上川地方,音威子府（オトイネップ）,,2023,11,9,10,0,8.7,4,9,33,4,,,,,,,0,34.6,5,2023,8,23,36.6,8,2021,7,28,19.2,8,2003,11,3,1977
12141,北海道上川地方,美深（ビフカ）,,2023,11,9,10,0,7.8,4,9,55,4,,,,,,,0,35.0,5,2023,8,23,36.6,8,2021,7,28,21.1,8,2003,11,3,1977
12181,北海道上川地方,名寄（ナヨロ）,,2023,11,9,10,0,9.2,4,9,49,4,,,,,,,0,35.6,5,2023,8,24,36.4,8,2021,7,28,20.2,8,2003,11,3,1976
12231,北海道上川地方,下川（シモカワ）,,2023,11,9,10,0,6.6,4,10,0,4,,,,,,,0,35.0,5,2023,8,24,37.3,8,2021,7,28,19.8,8,2003,11,3,1977
12261,北海道上川地方,士別（シベツ）,,2023,11,9,10,0,8.6,4,9,48,4,,,,,,,0,34.5,5,2023,8,24,37.0,8,2021,8,7,19.9,8,2003,11,3,1977
12266,北海道上川地方,朝日（アサヒ）,,2023,11,9,10,0,8.1,4,10,0,4,,,,,,,0,35.6,5,2023,8,24,37.2,8,2021,8,7,20.3,8,2003,11,3,1977
12301,北海道上川地方,和寒（ワッサム）,,2023,11,9,10,0,8.6,4,10,0,4,,,,,,,0,35.4,5,2023,8,24,36.8,8,2021,8,7,20.1,8,2003,11,3,1977
12386,北海道上川地方,江丹別（エタンベツ）,,2023,11,9,10,0,6.6,4,9,48,4,,,,,,,0,34.9,5,2023,8,24,38.4,8,2021,7,31,19.7,8,2003,11,3,1977
12396,北海道上川地方,比布（ピップ）,,2023,11,9,10,0,7.0,4,10,0,4,,,,,,,0,35.1,5,2023,8,24,36.9,8,2021,8,7,20.8,8,2003,11,3,1977
12411,北海道上川地方,上川（カミカワ）,,2023,11,9,10,0,8.0,4,9,31,4,,,,,,,0,33.1,5,2023,8,24,35.1,8,2021,8,7,19.2,8,2003,11,3,1977
12442,北海道上川地方,旭川（アサヒカワ）,47407,2023,11,9,10,0,6.3,4,10,0,4,,,,,,,0,35.5,5,2023,8,24,37.9,8,2021,8,7,22.0,8,1920,11,3,1888
